121513309,71010,2021-06-03 09:04:49.258637
507887662,2171,2021-06-03 09:04:49.915237
21700839,70961,2021-06-03 09:04:50.586154
457841940,16828,2021-06-03 09:04:51.229548
196157392,212987,2021-06-03 09:04:51.876637
83613451,22596,2021-06-03 09:04:52.672114
596769006,1873,2021-06-03 09:04:53.338227
611238388,21364,2021-06-03 09:04:54.710751
153672107,48673,2021-06-03 09:04:55.345416
36546126,29731,2021-06-03 09:04:56.619167
648713158,21373,2021-06-03 09:04:57.242743
74919571,22094,2021-06-03 09:04:57.878946
39226538,7668,2021-06-03 09:05:00.374544
209171918,136658,2021-06-03 09:05:02.207451
37121843,243724,2021-06-03 09:05:03.195960
689519091,11046,2021-06-03 09:05:03.969279
105598582,42101,2021-06-03 09:05:04.754376
39459577,80979,2021-06-03 09:05:05.364082
213488434,8589,2021-06-03 09:05:06.243213
130079329,20990,2021-06-03 09:05:07.659941
25766032,265978,2021-06-03 09:05:08.266782
112847431,50473,2021-06-03 09:05:08.927505
491994170,54931,2021-06-03 09:05:09.674671
93030465,204856,2021-06-03 09:05:11.128842
60218498,233114,2021-06-03 09:05:13.050190
186713738,13338,2021-06-03 09:05:15.299184
134273463,16698,2021-06-03 09:05:15.898301
41721716,50236,2021-06-03 09:05:16.537089
104410477,11045,2021-06-03 09:05:17.204452
162271954,2223,2021-06-03 09:05:17.841686
48918044,18680,2021-06-03 09:05:19.319302
405135778,53273,2021-06-03 09:05:19.995140
519728942,49895,2021-06-03 09:05:20.663284
147356756,36161,2021-06-03 09:05:21.478926
71526143,13071,2021-06-03 09:05:22.098590
35115147,64220,2021-06-03 09:05:23.711830
74440333,19342,2021-06-03 09:05:24.351496
125352441,4481,2021-06-03 09:05:25.200532
74871026,174060,2021-06-03 09:05:25.981938
170481576,35028,2021-06-03 09:05:26.585167
466198311,48295,2021-06-03 09:05:27.973922
417428688,26062,2021-06-03 09:05:30.090607
148406601,15725,2021-06-03 09:05:33.434604
165115114,12347,2021-06-03 09:05:34.119236
441437466,58228,2021-06-03 09:05:35.411820
87890182,31783,2021-06-03 09:05:36.019882
80145304,137713,2021-06-03 09:05:36.621264
210708721,114236,2021-06-03 09:05:37.242579
645969602,4523,2021-06-03 09:05:37.893602
433443068,66634,2021-06-03 09:05:39.520151
136981884,91447,2021-06-03 09:05:40.409783
91816176,60256,2021-06-03 09:05:41.196704
413434418,33752,2021-06-03 09:05:41.842197
58055383,30337,2021-06-03 09:05:42.490120
596962672,8604,2021-06-03 09:05:44.833840
537681297,10051,2021-06-03 09:05:45.500214
205715382,19644,2021-06-03 09:05:46.468904
61761549,10324,2021-06-03 09:05:47.299280
135477760,9298,2021-06-03 09:05:47.936586
112824627,67520,2021-06-03 09:05:48.540415
27912237,40395,2021-06-03 09:05:49.120932
87811161,5546,2021-06-03 09:05:49.902235
144321422,26107,2021-06-03 09:05:51.826405
182526518,24979,2021-06-03 09:05:52.436338
27772080,13883,2021-06-03 09:05:53.067711
171166583,31885,2021-06-03 09:05:53.702193
224149832,10343,2021-06-03 09:05:54.329231
62183747,64814,2021-06-03 09:05:56.013588
51796259,157003,2021-06-03 09:05:56.819065
113932257,10710,2021-06-03 09:05:57.472251
151792360,15264,2021-06-03 09:05:58.306683
93479223,60182,2021-06-03 09:05:59.283648
76984628,7289,2021-06-03 09:06:00.837773
558495042,102350,2021-06-03 09:06:01.421784
490235707,66013,2021-06-03 09:06:02.069624
244245973,11842,2021-06-03 09:06:02.655950
31506856,54130,2021-06-03 09:06:03.263957
176231231,18082,2021-06-03 09:06:03.880401
26285618,134257,2021-06-03 09:06:04.447707
97186917,80796,2021-06-03 09:06:05.010947
449787379,32839,2021-06-03 09:06:05.940038
558976135,3744,2021-06-03 09:06:06.791153
114161807,770,2021-06-03 09:06:07.454554
147311251,10168,2021-06-03 09:06:08.082357
57105861,3270,2021-06-03 09:06:08.719143
227159873,15878,2021-06-03 09:06:09.389494
132820204,73791,2021-06-03 09:06:10.225958
30664150,6417,2021-06-03 09:06:11.010240
